Category,Emotion,Input_query,Response,Sentiment
Medical assistance related queries,Sad,Where can I find help with my medical needs? Facing a very bad day.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,Where can I get assistance for my medical needs? My day is going really horrible.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,Where can I get support for my medical requirements? Seems to be a very horrible day.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,What resources are available to me for medical assistance? I'm in for a really horrible day.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,Where can I get assistance with my medical needs? facing a very horrible day.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,Where could I at any point track down assist with my clinical requirements? Confronting an extremely terrible day.,"Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Sad,I flipped while getting out of the taxi. My left leg is hurting now. Can I get some first-aid on the airport?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,"While stepping out of the taxi, I flipped. Right now, my left leg hurts. Is there a first aid station at the airport?","That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,"When I got out of the taxi, I flipped. Currently, my left leg hurts. Can I get first aid on the plane?","That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,"As I exited the cab, I flipped. Now I'm having pain in my left leg. Is first aid available at the airport?","That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,I flipped as I exited the cab. I'm currently experiencing pain in my left leg. Can I get first aid at the airport?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,I flipped while escaping the taxi. My left leg is hurting now. Might I at any point get some emergency treatment on the air terminal?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,Suffering from severe back pain. Is there anyone that can help me? ,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,Enduring excruciating back pain. Is anyone available to assist me?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,Suffering from excruciating back pain. Is there anyone who could assist me?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,Significant back pain is a problem. Who can I turn to for assistance?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,Experiencing serious back torment. Is there anybody that can help me?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,A passenger fell down on the floor suddenly. What should I do?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,"Unexpectedly, a passenger collapsed on the ground. What ought I to do?","That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,A passenger abruptly collapsed on the ground. How should I proceed?,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,"On the floor, a passenger abruptly collapsed. I need do something but what?","That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Sad,A traveler tumbled down on the floor unexpectedly. How should I respond to this? These scenes are so disturbing.,"That’s very unfortunate. You must visit the medical assistance room as soon as possible. Medical assistance is on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided for medical conditions only. Please be careful!",Negative
Medical assistance related queries,Anger,So much of water spilled on the floor. I fell down and got my back injured. Who will be responsible for any mishap?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,The water poured all over the floor. I damaged my back when I fell. Who will be held accountable for any accidents?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,Water poured out all over the floor. My back was hurt when I fell. Who will be in charge of any accidents?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,Water flooded the floor in a large amount. I hurt my back after tripping and falling. Any accidents will be whose fault?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,Water was all over the floor. I hurt my back when I fell. Who will be liable for any accidents?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,A lot of water spilled on the floor. I tumbled down and got my back harmed. Who will be answerable for any incident?,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,Why there is no warning board reading ‘Caution! Wet Floor’? People are getting sliped every minute.,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"Why is there not a sign that says, ""Caution! Wet Floor""? Every minute, people are slipping.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"Why is there no sign saying, ""Caution! Wet Floor""? Every minute, people are being let down.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"Why is there no sign that says, ""Caution! Wet Floor""? Every minute, people fall.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,Why there is no advance notice board perusing 'Watchfulness! Wet Floor'? Individuals are getting slipped consistently.,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,The medical room does not have proper first-aid medications.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The medical room lacks the necessary first-aid supplies.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The appropriate first-aid supplies are not in the medical room.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,Correct first-aid supplies are lacking in the medical room.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The clinical room at the airport doesn't have legitimate emergency treatment prescriptions.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,I am waiting for medical help since last 15 mins. No one is there in the room.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,I've been waiting for medical assistance for the past 15 minutes. There is nobody in the room.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"Since 15 minutes ago, I have been waiting for medical assistance. Within the space, nobody is present.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"Since the past 15 minutes, I have been waiting for medical assistance. The room is empty.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"I've been waiting 15 minutes for medical assistance. In the room, nobody is present.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,I'm hanging tight for clinical assistance since last 15 mins. Nobody is there in the room.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"There is no warning board for the ongoing flooring work on the airport. It is just unbelievable. I twisted my ankle. I would definetly claim for it, I need my ticket money and medication cost from the airlines immediately.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"For the current flooring construction at the airport, there is no warning sign. Simply unbelievable,my ankle got twisted. I would most definitely make a claim for it because I need the airlines to pay for my flight and my prescription right away.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,The airport's continuing flooring renovation is not indicated by a warning sign. It really is unbelievable. My ankle was twisted. I would definitely file a claim because I urgently need the airlines to pay for my flight and my medication.,"We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"The airport's continuing flooring construction is not marked with a warning sign. Simply incredible, I tell you.For the ankle I had twisted, I would definitely make a claim for it. I need reimbursement from the airlines for the expense of my flight and my prescription immediately.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"There is no advance notice board for the continuous deck work on the air terminal. It is simply unfathomable. I bent my lower leg. I would definitely guarantee for it, I want my ticket cash and prescription expense from the carriers right away.","We are very sorry to hear that. Airport authority will take the matter seriously. You first need to make your way to the medical room on the first floor. Wheelchairs are available near the escalator at every floor, use the emergency lift provided explicitly for medical conditions. Please be careful!",Negative
Medical assistance related queries,Anger,"Timing matters in medical cases. I am waiting for the medical assistance since half an hour but still the medical room is empty, damp and dim. It is so disappointing to see these kind of facilities at the airport. ",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"In medical circumstances, timing is important. I've been waiting for medical help for a half hour, but the medical room is still empty, damp, and dark. These facilities at the airport are quite unsatisfactory.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"Medical cases require the right timing. The hospital room is still empty, damp, and dark even though I have been waiting for medical treatment for a half hour. These facilities at the airport are really depressing to see.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"For medical cases, timing is crucial. Since a half hour, I have been waiting for medical aid, but the medical room is still vacant, damp, and dark. The presence of these amenities at the airport is really disappointing.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"In medical situations, timing is crucial. I've been waiting for medical aid for a half hour, but the medical room is still empty, damp, and dark. Such a letdown to find these amenities at the airport.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"Timing matters in clinical cases. I'm hanging tight for the clinical help since 30 minutes yet the clinical room is unfilled, sodden and faint. Seeing these sort of offices at the airport is so disheartening.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The medical room is very unhygenic. There is no proper system of waste management also.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"The medical space is exceedingly unsanitary. Additionally, there is no effective waste management system.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"The medical space is quite unhygienic. Furthermore, there is no efficient waste management system.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,It is exceedingly unsanitary in the medical room. Waste management is also not properly managed.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,"The medical space is highly unhygienic. Additionally, there is no efficient waste management system.",That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The clinical room is very unhygienic. There is no legitimate arrangement of waste administration too.,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,Medication is such an important thing. How the authorities can be so careless on it?,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,Medication is a crucial component. How could the authorities be so reckless about it?,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,It's crucial to getmedication. Why are the authorities handling it with such carelessness?,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,The importance of medication cannot be overstated. How could the authorities be so casual about it?,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Anger,Medicine is a particularly significant thing. How the authority can be so imprudent on it?,That’s very awful. It makes us sad hearing what happened with you. Medical assistance is a must requirement and authority will not bear any negligance in that. Airport authority will take the matter seriously.,Negative
Medical assistance related queries,Happy,Thanks to the entire medical support for responding quickly and helping me out.,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,The entire team is very patient and polite.,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,I am here just to say thank you to the medical support staffs of the airport. They saved my life a year back. I was passing by the airport so thought to say thank you to the whole team. ,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,All the medical staffs have such a nice personality. Half of my pain got relieved just by looking at their smiling faces. ,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,Timing matters in medical cases. I am blessed to have a quick medical support team. Thank you everyone,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,The entire medical support system is very well managed. Everyone was responding fast and handled the situation very maturely.,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Happy,Thank God! I was able to get the medications timely. Thanks to the medical team.,Medical assistance is a must and cannot be delayed. We are happy to recieve positive feedback regarding the same. Maintain good health and stay safe.,Positive
Medical assistance related queries,Stress,A passenger sitting beside me fell on the ground all of the sudden. What should I do?,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,My head is bleeding and my flight is going to depart soon. Should I board the flight with this bleeding head?,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,My co-passenger is a heart patient. He is feeling a slight pain in his chest. I fear it do not turns into something worst. I don’t know what to do.,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,I am unable to find any medical support till now. I am having a cut and it's bleeding continuously. ,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,I am getting late for the flight and got a cut in my arms in hurry. Where would I get first aid medication?,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,Things are going wrong from the start of the day. Got late for the flight and now the finger got hurt by the car doors. Where can I find a medical help?,Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Stress,"Where to get a medical help? Be quick, I need to catch my flight. I am already late for it. ",Don’t panic. Go to the medical support team immediately. Medical room is on the first floor. Use emergency lift to save time. Take deep breathe to stay active.,Negative
Medical assistance related queries,Neutral,I am here to check the availability of necessary medical facilities at the airport. ,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I'm here to see if the airport has the appropriate medical resources.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I'm here to see if there are any essential medical facilities at the airport.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I'm here to determine whether the airport has the required medical resources.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I'm here to see if there are any medical facilities available at the airport.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I've come to check on the airport's medical facilities.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I was curious about the airport's medical facilities.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I was curious about the medical services available at the airport.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I was interested in learning about the airport's medical services.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,The airport's medical services were something I was interested in knowing about.,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Medical assistance related queries,Neutral,I wanted to know the medical facilities available at the airport. ,Medical facilities are of highest priority for the authorities. The airport is equipped with all the necessary medicines and machines for handling any kind of medical emergency. First responders and specialist doctors are available 24X7 at the medical room. The medical team is always ready to deal with any mishap. ,Neutral
Boarding pass related queries,Stress,My name has been misspelt on the boarding pass. Where should I go to make it correct?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"The boarding pass has a typo in my name. What should I do to fix it, and where?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,The boarding pass has my name spelled incorrectly. Which place should I visit to fix it?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"The boarding pass shows the wrong spelling of my name. To fix that, where should I go?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"On the boarding pass, my name is misspelt. Where should I go to fix it? Please be a little quick.",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My name has been incorrectly spelled on the ticket. Where would it be advisable for me to go to make it address?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,Few informations on my boarding pass is incorrect. How to deal with this problem? ,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,A few of the details on my boarding pass are wrong. How should this issue be handled?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My boarding pass contains a few inaccuracies. How do we approach this issue?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"On my boarding pass, a few of the details are wrong. What should I do about this issue?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,Scarcely any informations on my ticket is correct. How to manage this issue?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My boarding pass has my age printed wrong. How it will be rectified?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My age is incorrectly recorded on my boarding permit. How will it be fixed?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My age is incorrectly recorded on my boarding permit. How will it be fixed? Please resolve it quickly if you can; I have to go soon.,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My age is printed incorrectly on my boarding permit. What will be done to fix it? Please solve it quickly if you can; I'm running behind schedule.,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"It says my age incorrectly on my boarding pass. Guide me with the method of correction I'm running late, so if you can, please be quick.",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,My age is incorrectly listed on my boarding permit. How will it be corrected? I would appreciate it if you could solve it quickly because I am running behind schedule.,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"My ticket has my age printed wrong. How it will be redressed? Please make it quick, I'm getting late to catch the flight.",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,I am running late to catch my flight and my boarding pass reads my name wrong. Should I try to board the flight with the same pass?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"My boarding pass misreads my name, and I'm racing behind schedule to catch my flight. Should I attempt to use the same pass to board the flight?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"My name appears incorrectly on my boarding pass, and I have to rush to make my trip. Should I try using the same pass to get on the plane?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,"Since my boarding pass misreads my name, I won't make it on time for my trip. I have the same pass, should I try to use it to board the plane?",No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Stress,I'm behind schedule to get my flight and my ticket peruses my name wrong. Would it be a good idea for me to attempt to load onto the trip with a similar pass?,No worries! All the boarding related queries will be handled at the boarding counter without delay. Boarding counter is [direction].,Negative
Boarding pass related queries,Happy,We are very excited as we are going to board the flight for the first time. Can we choose our seats? ,We are happy to help everyone. Boarding pass and seat related queries are handled at the Boarding counter. Happy to have you onboard!,Positive
Boarding pass related queries,Happy,"We are eager to board the plane for the first time, so we are quite excited. Can we select our own seats?",We are happy to help everyone. Boarding pass and seat related queries are handled at the Boarding counter. Happy to have you onboard!,Positive
